CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	58	0	26	23	0	5	0	0	0	15	
1	2	Noun	48	1	31	31	1	6	0	0	0	9	
1	3	Noun	65	0	29	22	0	2	0	0	0	9	
1	4	Noun	67	0	33	14	0	6	0	0	0	7	
1	5	Noun	65	0	34	17	0	6	0	0	0	5	
1	6	Noun	61	0	32	21	0	5	0	0	0	8	
1	7	Noun	64	0	30	22	0	3	0	0	0	8	
1	8	Noun	66	0	28	18	0	5	0	0	0	10	
1	9	Noun	57	0	34	24	0	4	0	0	0	8	
1	10	Noun	54	0	29	17	1	2	0	0	0	12	
2	1	Noun	8	0	2	3	0	0	0	0	0	0	
2	2	Noun	8	0	2	1	0	0	1	0	0	1	
2	3	Noun	9	0	3	0	0	1	0	0	0	0	
2	4	Noun	4	0	4	4	0	0	0	0	0	1	
2	5	Noun	10	0	1	2	0	0	0	0	0	0	
2	6	Noun	6	0	2	0	0	0	0	0	0	0	
3	1	Adjective	1	0	3	1	0	0	0	0	0	0	
3	2	Noun	4	0	1	0	0	0	0	0	0	0	
3	3	Noun	3	0	0	2	0	0	0	0	0	0	
3	4	Noun	4	0	1	0	0	0	0	0	0	0	
3	5	Noun	3	0	1	1	0	0	0	0	0	0	
4	1	Noun	2	0	0	0	0	0	0	0	0	0	
4	2	Noun	1	0	0	1	0	0	0	0	0	0	
4	3	Verb	0	0	0	1	0	1	0	0	0	0	
4	4	Noun	2	0	0	0	0	0	0	0	0	0	
4	5	Noun	2	0	0	0	0	0	0	0	0	0	
4	6	Noun	1	0	1	0	0	0	0	0	0	0	
4	7	Noun	1	0	1	0	0	0	0	0	0	0	
4	8	Noun	2	0	0	0	0	0	0	0	0	0	
4	9	Noun	2	0	0	0	0	0	0	0	0	0	
4	10	Noun	1	0	0	1	0	0	0	0	0	0	
4	11	Verb	0	0	0	2	0	0	0	0	0	0	
4	12	Noun	1	0	1	0	0	0	0	0	0	0	
4	13	Noun	1	0	1	0	0	0	0	0	0	0	
4	14	Adjective	0	0	2	0	0	0	0	0	0	0	
4	15	Noun	2	0	0	0	0	0	0	0	0	0	
4	16	Adjective	0	0	2	0	0	0	0	0	0	0	
5	1	Noun	1	0	1	0	0	0	0	0	0	1	
5	2	Verb	0	0	0	1	0	1	0	0	0	1	
5	3	Adjective	0	0	2	1	0	0	0	0	0	0	
5	4	Verb	0	0	1	2	0	0	0	0	0	0	
5	5	Noun	2	0	0	1	0	0	0	0	0	0	
5	6	Noun	1	0	1	0	0	0	0	0	0	1	
5	7	Noun	2	0	1	0	0	0	0	0	0	0	
5	8	Noun	2	0	1	0	0	0	0	0	0	0	
5	9	Noun	3	0	0	0	0	0	0	0	0	0	
5	10	Noun	1	0	1	1	0	0	0	0	0	0	
5	11	Noun	2	0	0	1	0	0	0	0	0	0	
6	1	Noun	1	0	0	1	0	0	0	0	0	0	
6	2	Adjective	0	0	1	1	0	0	0	0	0	0	
6	3	Noun	1	0	1	0	0	0	0	0	0	0	
6	4	Noun	2	0	0	0	0	0	0	0	0	0	
6	5	Adjective	0	0	2	0	0	0	0	0	0	0	
6	6	Noun	2	0	0	0	0	0	0	0	0	0	
6	7	Adjective	0	0	2	0	0	0	0	0	0	0	
6	8	Noun	1	0	1	0	0	0	0	0	0	0	
6	9	Noun	2	0	0	0	0	0	0	0	0	0	
6	10	Noun	1	0	1	0	0	0	0	0	0	0	
6	11	Adjective	0	0	2	0	0	0	0	0	0	0	
6	12	Noun	2	0	0	0	0	0	0	0	0	0	
6	13	Noun	2	0	0	0	0	0	0	0	0	0	
6	14	Verb	0	0	0	1	0	1	0	0	0	0	
6	15	Noun	1	0	1	0	0	0	0	0	0	0	
6	16	Adjective	0	0	1	1	0	0	0	0	0	0	
6	17	Adjective	0	0	1	1	0	0	0	0	0	0	
6	18	Adjective	0	0	2	0	0	0	0	0	0	0	
6	19	Noun	1	0	1	0	0	0	0	0	0	0	
6	20	Noun	1	0	1	0	0	0	0	0	0	0	
7	1	Noun	3	0	0	2	0	0	0	0	0	0	
7	2	Verb	2	0	0	3	0	0	0	0	0	0	
7	3	Adjective	2	0	3	0	0	0	0	0	0	0	
7	4	Noun	4	0	1	0	0	0	0	0	0	0	
7	5	Adjective	2	0	3	0	0	0	0	0	0	0	
7	6	Noun	3	0	1	1	0	0	0	0	0	0	
7	7	Noun	2	0	1	2	0	0	0	0	0	0	
7	8	Noun	3	0	1	1	0	0	0	0	0	0	
7	9	Noun	3	0	1	1	0	0	0	0	0	0	
7	10	Noun	2	0	1	2	0	0	0	0	0	0	
7	11	Noun	2	0	1	1	0	0	0	0	0	0	
8	1	Noun	5	0	2	2	0	0	0	0	0	1	
8	2	Noun	6	0	2	2	0	0	0	0	0	0	
8	3	Noun	5	0	3	2	0	0	0	0	0	0	
8	4	Adjective	4	0	5	1	0	0	0	0	0	0	
8	5	Noun	7	0	1	2	0	0	0	0	0	0	
