CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	116	0	42	40	2	7	0	0	0	36	
1	2	Noun	111	0	35	53	2	8	0	0	0	34	
1	3	Noun	117	1	38	43	0	10	0	0	0	34	
1	4	Noun	136	0	48	32	2	3	0	0	0	22	
1	5	Noun	130	0	34	41	0	7	0	0	0	31	
1	6	Noun	128	1	34	37	3	4	0	0	0	36	
1	7	Noun	120	0	37	38	1	3	0	0	0	44	
1	8	Noun	118	0	48	38	3	6	0	0	0	30	
1	9	Noun	114	1	53	39	0	4	0	0	0	32	
1	10	Noun	108	0	51	43	0	7	0	0	0	34	
1	11	Noun	117	0	29	49	2	8	0	0	0	38	
1	12	Noun	104	0	43	50	3	3	0	0	0	40	
1	13	Noun	118	1	56	31	2	4	0	0	0	31	
1	14	Noun	129	0	47	35	0	1	0	0	0	31	
1	15	Noun	108	0	44	38	1	3	0	0	0	26	
2	1	Noun	7	0	2	5	0	1	0	0	0	2	
2	2	Verb	4	0	4	7	0	0	0	0	0	2	
2	3	Noun	9	0	4	2	0	0	0	0	0	2	
2	4	Noun	7	0	6	3	0	0	0	0	0	1	
2	5	Noun	8	0	4	4	0	1	0	0	0	0	
2	6	Noun	11	0	1	4	0	1	0	0	0	0	
2	7	Noun	10	0	1	3	1	0	0	0	0	2	
2	8	Noun	10	0	2	4	0	0	0	0	0	1	
2	9	Noun	8	0	4	2	0	0	0	0	0	3	
2	10	Noun	9	0	2	4	0	0	0	0	0	2	
2	11	Noun	8	0	1	4	0	2	0	0	0	2	
2	12	Noun	6	0	0	4	0	1	0	0	0	6	
2	13	Noun	8	0	3	4	0	1	0	0	0	1	
2	14	Noun	11	0	4	1	1	0	0	0	0	0	
2	15	Noun	9	0	6	2	0	0	0	0	0	0	
2	16	Noun	10	0	4	2	0	0	0	0	0	1	
2	17	Noun	6	0	4	5	0	0	0	0	0	2	
2	18	Noun	11	0	4	0	0	0	0	0	0	2	
2	19	Noun	10	0	2	0	0	0	0	0	0	2	
3	1	Noun	6	0	3	4	0	1	0	0	0	0	
3	2	Noun	6	0	3	5	0	0	0	0	0	0	
3	3	Noun	8	0	3	1	0	0	0	0	0	2	
3	4	Noun	8	0	1	3	0	0	0	0	0	2	
