CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	2	0	0	0	0	0	0	0	0	1	
1	2	Noun	2	0	0	0	0	0	0	0	0	1	
1	3	Unknown	0	0	0	1	0	0	0	0	0	2	
1	4	Noun	2	0	0	0	0	0	0	0	0	1	
1	5	Unknown	0	0	1	0	0	0	0	0	0	2	
1	6	Noun	2	0	0	0	0	0	0	0	0	1	
1	7	Noun	1	0	0	1	0	0	0	0	0	1	
1	8	Noun	1	0	1	0	0	0	0	0	0	1	
1	9	Unknown	0	0	1	0	0	0	0	0	0	2	
1	10	Noun	1	1	0	0	0	0	0	0	0	1	
1	11	Noun	1	0	1	0	0	0	0	0	0	0	
2	1	Noun	54	0	25	31	5	5	0	0	0	2	
2	2	Noun	57	0	27	27	2	0	0	0	0	9	
2	3	Noun	68	0	20	22	0	4	0	0	0	8	
2	4	Noun	54	0	31	26	0	4	0	0	0	7	
2	5	Noun	54	0	36	20	3	5	0	0	0	4	
2	6	Noun	67	0	26	22	0	4	0	0	0	3	
2	7	Noun	61	0	31	19	3	2	0	0	0	6	
2	8	Noun	58	0	30	25	0	5	0	0	0	4	
2	9	Noun	53	0	27	14	0	3	0	0	0	6	
3	1	Noun	56	0	24	27	2	4	0	0	0	2	
3	2	Noun	51	0	31	25	2	4	0	0	0	2	
3	3	Noun	73	0	20	17	1	2	0	0	0	2	
3	4	Noun	58	0	31	20	1	2	0	0	0	3	
3	5	Noun	51	0	24	29	2	3	0	0	0	6	
3	6	Noun	62	0	28	19	3	2	0	0	0	1	
3	7	Noun	61	0	24	24	1	4	0	0	0	1	
3	8	Noun	42	0	26	16	2	2	0	0	0	2	
4	1	Noun	55	0	32	28	2	6	0	0	0	4	
4	2	Noun	46	0	37	31	2	2	0	0	0	9	
4	3	Noun	60	0	36	22	1	4	0	0	0	4	
4	4	Noun	62	0	28	22	3	6	0	0	0	6	
4	5	Noun	64	0	23	28	1	2	0	0	0	9	
4	6	Noun	65	0	25	28	4	2	0	0	0	3	
4	7	Noun	64	0	24	27	3	2	0	0	0	7	
4	8	Noun	57	0	29	20	2	0	0	0	0	3	
5	1	Noun	70	0	33	41	4	6	0	0	0	3	
5	2	Noun	70	0	34	46	1	2	0	0	0	4	
5	3	Noun	80	0	28	38	2	7	0	0	0	2	
5	4	Noun	77	0	27	42	4	2	0	0	0	5	
5	5	Noun	75	0	36	39	3	2	0	0	0	2	
5	6	Noun	79	0	35	32	2	5	0	0	0	4	
5	7	Noun	70	0	24	23	0	3	0	0	0	5	
6	1	Noun	36	0	31	27	0	2	0	0	0	5	
6	2	Noun	46	0	25	18	1	4	0	0	0	7	
