CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	2	0	0	0	0	0	0	0	0	1	
1	2	Noun	2	0	0	0	0	0	0	0	0	1	
1	3	Unknown	1	0	0	0	0	0	0	0	0	2	
1	4	Unknown	1	0	0	0	0	0	0	0	0	2	
1	5	Noun	3	0	0	0	0	0	0	0	0	0	
1	6	Unknown	0	0	1	0	0	0	0	0	0	2	
1	7	Unknown	1	0	0	0	0	0	0	0	0	2	
1	8	Noun	2	0	0	0	0	0	0	0	0	1	
1	9	Adjective	0	0	1	0	0	0	0	0	0	1	
2	1	Unknown	0	0	0	0	0	0	0	0	0	1	
2	2	Verb	0	0	0	1	0	0	0	0	0	0	
2	3	Noun	1	0	0	0	0	0	0	0	0	0	
2	4	Unknown	0	0	0	0	0	0	0	0	0	1	
2	5	Unknown	0	0	0	0	0	0	0	0	0	1	
2	6	Unknown	0	0	0	0	0	0	0	0	0	1	
2	7	Unknown	0	0	0	0	0	0	0	0	0	1	
2	8	Verb	0	0	0	1	0	0	0	0	0	0	
2	9	Unknown	0	0	0	0	0	0	0	0	0	1	
2	10	Adjective	0	0	1	0	0	0	0	0	0	0	
2	11	Unknown	0	0	0	0	0	0	0	0	0	1	
2	12	Unknown	0	0	0	0	0	0	0	0	0	1	
2	13	Noun	0	0	0	0	0	0	0	0	0	0	
3	1	Unknown	0	0	0	0	0	0	0	0	0	1	
3	2	Noun	1	0	0	0	0	0	0	0	0	0	
3	3	Unknown	0	0	0	0	0	0	0	0	0	1	
3	4	Noun	0	0	0	0	0	0	0	0	0	0	
4	1	Noun	1	0	0	0	0	0	0	0	0	0	
4	2	Noun	1	0	0	0	0	0	0	0	0	0	
4	3	Verb	0	0	0	1	0	0	0	0	0	0	
4	4	Noun	1	0	0	0	0	0	0	0	0	0	
4	5	Unknown	0	0	0	0	0	0	0	0	0	1	
4	6	Noun	1	0	0	0	0	0	0	0	0	0	
4	7	Adjective	0	0	1	0	0	0	0	0	0	0	
4	8	Noun	1	0	0	0	0	0	0	0	0	0	
4	9	Noun	1	0	0	0	0	0	0	0	0	0	
4	10	Noun	1	0	0	0	0	0	0	0	0	0	
4	11	Noun	1	0	0	0	0	0	0	0	0	0	
4	12	Noun	1	0	0	0	0	0	0	0	0	0	
4	13	Adjective	0	0	1	0	0	0	0	0	0	0	
4	14	Noun	1	0	0	0	0	0	0	0	0	0	
4	15	Noun	1	0	0	0	0	0	0	0	0	0	
4	16	Verb	0	0	0	1	0	0	0	0	0	0	
4	17	Noun	1	0	0	0	0	0	0	0	0	0	
4	18	Noun	1	0	0	0	0	0	0	0	0	0	
