CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	42	0	21	25	0	6	0	0	0	7	
1	2	Noun	46	0	25	16	1	6	0	0	0	7	
1	3	Noun	56	0	23	18	0	1	0	0	0	3	
1	4	Noun	48	0	16	28	0	3	0	0	0	6	
1	5	Noun	54	0	24	20	0	0	0	0	0	3	
1	6	Noun	53	0	24	18	1	1	0	0	0	4	
1	7	Noun	48	0	21	20	0	4	1	0	0	7	
1	8	Noun	48	0	21	22	0	4	0	0	0	6	
1	9	Noun	46	0	18	27	0	4	0	0	0	6	
1	10	Noun	44	0	17	23	0	1	0	0	0	2	
2	1	Noun	22	0	5	7	0	1	0	0	0	2	
2	2	Noun	19	0	5	9	0	1	0	0	0	3	
2	3	Adjective	11	0	15	5	1	0	0	0	0	5	
2	4	Noun	23	0	6	5	0	1	0	0	0	2	
2	5	Noun	17	0	7	8	1	1	0	0	0	3	
2	6	Noun	17	0	7	9	0	3	0	0	0	1	
2	7	Noun	19	0	7	8	0	2	0	0	0	1	
2	8	Noun	22	0	7	5	0	2	0	0	0	1	
2	9	Noun	19	0	7	7	0	2	0	0	0	2	
2	10	Noun	19	0	7	5	1	0	0	0	0	2	
3	1	Noun	16	0	10	10	0	1	0	0	0	1	
3	2	Noun	22	0	7	7	0	1	0	0	0	1	
3	3	Noun	19	0	9	6	0	2	0	0	0	2	
3	4	Noun	16	0	9	10	0	1	0	0	0	2	
3	5	Noun	18	0	7	8	0	2	0	0	0	3	
3	6	Noun	18	0	10	5	0	2	0	0	0	3	
3	7	Noun	22	0	4	5	1	2	0	0	0	4	
3	8	Noun	21	0	10	5	0	0	1	0	0	1	
3	9	Noun	21	0	7	4	0	3	0	0	0	3	
3	10	Noun	15	0	10	8	0	3	0	0	0	2	
3	11	Noun	15	0	8	8	0	1	0	0	0	1	
4	1	Noun	21	0	11	18	1	1	0	0	0	7	
4	2	Noun	27	0	16	13	0	2	0	0	0	1	
4	3	Noun	30	0	12	12	0	2	1	0	0	2	
4	4	Noun	29	0	13	12	0	1	1	0	0	3	
4	5	Noun	31	0	13	13	0	0	0	0	0	2	
4	6	Noun	28	0	11	13	1	4	1	0	0	1	
4	7	Noun	28	0	13	12	1	3	0	0	0	2	
4	8	Noun	25	0	15	11	0	5	0	0	0	3	
4	9	Noun	23	0	10	13	0	0	0	0	0	3	
5	1	Noun	17	0	9	12	0	0	0	0	0	1	
5	2	Noun	23	0	4	12	0	0	0	0	0	0	
5	3	Noun	24	0	9	6	0	0	0	0	0	0	
5	4	Noun	17	0	8	11	1	1	0	0	0	1	
5	5	Noun	18	0	6	11	1	2	0	0	0	1	
5	6	Noun	19	1	6	12	0	0	0	0	0	1	
5	7	Adjective	14	0	15	8	0	2	0	0	0	0	
5	8	Noun	22	0	9	6	0	0	0	0	0	2	
5	9	Noun	17	0	9	11	0	0	0	0	0	2	
5	10	Noun	18	0	9	11	0	1	0	0	0	0	
5	11	Noun	25	0	4	8	0	2	0	0	0	0	
5	12	Noun	12	0	7	9	0	3	0	0	0	1	
6	1	Noun	14	0	11	14	3	1	0	0	0	2	
6	2	Noun	16	0	11	12	1	2	0	0	0	3	
6	3	Noun	22	0	10	8	0	4	0	0	0	1	
6	4	Noun	23	0	11	8	0	1	0	0	0	2	
6	5	Noun	25	0	8	7	1	3	0	0	0	1	
6	6	Noun	18	0	11	14	0	0	0	0	0	2	
6	7	Noun	23	0	11	10	0	0	0	0	0	1	
6	8	Noun	26	0	9	7	1	2	0	0	0	0	
6	9	Noun	21	0	9	8	0	3	1	0	0	3	
6	10	Noun	20	0	10	7	0	1	0	0	0	2	
7	1	Noun	31	0	15	14	1	1	0	0	0	10	
7	2	Noun	32	0	15	18	0	3	0	0	0	4	
7	3	Noun	35	0	10	16	0	4	0	0	0	7	
7	4	Noun	22	0	22	19	0	2	0	0	0	7	
7	5	Noun	37	0	16	16	0	1	0	0	0	2	
7	6	Noun	31	0	24	9	0	1	2	0	0	5	
7	7	Noun	35	0	15	14	1	2	0	0	0	5	
7	8	Noun	34	0	16	14	1	2	0	0	0	5	
7	9	Noun	29	0	15	14	0	2	0	0	0	1	
8	1	Noun	53	0	23	29	3	3	0	0	0	5	
8	2	Noun	55	0	18	30	0	6	0	0	0	7	
8	3	Noun	45	0	27	32	3	2	0	0	0	7	
8	4	Noun	54	0	25	28	1	3	0	0	0	5	
8	5	Noun	62	0	22	24	1	1	1	0	0	5	
8	6	Noun	55	0	23	29	0	3	0	0	1	5	
8	7	Noun	51	0	25	11	1	4	0	0	0	4	
9	1	Noun	29	0	13	21	2	1	0	0	0	8	
9	2	Noun	34	0	18	17	0	0	1	0	0	4	
9	3	Noun	38	0	14	17	0	2	0	0	0	3	
9	4	Noun	31	0	16	21	0	3	1	0	0	2	
9	5	Noun	33	0	13	22	2	1	1	0	0	2	
9	6	Noun	30	0	19	19	1	0	0	0	0	5	
9	7	Noun	38	0	13	16	1	3	0	0	1	2	
9	8	Noun	29	0	10	14	1	2	0	0	0	2	
10	1	Noun	22	0	5	13	4	0	0	0	0	2	
10	2	Noun	24	0	10	10	0	1	0	0	0	1	
10	3	Noun	22	0	14	5	0	4	0	0	0	1	
10	4	Noun	25	0	13	7	0	1	0	0	0	0	
10	5	Noun	27	0	11	6	1	0	0	0	0	1	
10	6	Noun	25	0	7	9	1	2	0	0	0	2	
10	7	Noun	24	0	9	11	0	0	0	0	0	2	
10	8	Noun	21	0	9	12	0	0	0	0	0	4	
10	9	Noun	26	0	6	11	0	1	0	0	0	2	
