CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Unknown	0	0	0	0	0	0	0	0	0	1	
1	2	Noun	1	0	0	0	0	0	0	0	0	0	
1	3	Noun	1	0	0	0	0	0	0	0	0	0	
1	4	Noun	1	0	0	0	0	0	0	0	0	0	
1	5	Noun	1	0	0	0	0	0	0	0	0	0	
1	6	Noun	1	0	0	0	0	0	0	0	0	0	
1	7	Unknown	0	0	0	0	0	0	0	0	0	1	
1	8	Verb	0	0	0	1	0	0	0	0	0	0	
1	9	Noun	1	0	0	0	0	0	0	0	0	0	
1	10	Unknown	0	0	0	0	0	0	0	0	0	1	
1	11	Noun	1	0	0	0	0	0	0	0	0	0	
1	12	Adjective	0	0	1	0	0	0	0	0	0	0	
1	13	Unknown	0	0	0	0	0	0	0	0	0	1	
1	14	Verb	0	0	0	1	0	0	0	0	0	0	
2	1	Noun	147	0	99	85	6	6	0	0	0	18	
2	2	Noun	179	0	84	82	2	4	0	0	0	10	
2	3	Noun	171	0	99	66	2	10	0	0	0	13	
2	4	Noun	192	0	87	62	2	9	0	0	0	9	
2	5	Noun	195	0	95	53	2	7	0	0	0	9	
2	6	Noun	213	0	86	49	3	6	0	0	0	4	
2	7	Noun	167	0	62	59	2	6	0	0	0	5	
3	1	Noun	143	0	72	85	5	5	0	0	0	7	
3	2	Noun	156	0	76	68	1	9	0	0	0	7	
3	3	Noun	166	0	76	50	5	7	0	0	0	13	
3	4	Noun	170	0	65	60	4	12	0	0	0	6	
3	5	Noun	155	0	82	52	2	18	0	0	0	8	
3	6	Noun	159	0	72	54	5	16	0	0	0	11	
3	7	Noun	139	0	69	41	2	12	0	0	0	3	
4	1	Noun	147	0	98	88	2	16	0	0	0	16	
4	2	Noun	191	0	79	66	2	13	0	0	0	16	
4	3	Noun	178	0	77	70	2	12	1	0	0	27	
4	4	Noun	176	0	87	73	1	9	0	0	0	21	
4	5	Noun	194	0	89	61	1	10	0	0	0	12	
4	6	Noun	183	0	80	64	2	10	1	0	0	27	
4	7	Noun	170	0	56	66	3	5	0	0	0	23	
