CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	37	0	21	7	0	1	0	0	0	10	
1	2	Noun	44	0	11	10	0	0	1	0	0	10	
1	3	Noun	59	0	3	2	0	0	0	0	0	12	
1	4	Noun	26	0	0	0	0	0	0	0	0	7	
2	1	Noun	6	0	3	4	0	1	0	0	0	5	
2	2	Unknown	4	0	5	3	0	0	0	0	0	7	
2	3	Noun	11	0	3	2	0	0	0	0	0	3	
2	4	Noun	6	0	5	4	0	0	0	0	0	4	
2	5	Noun	8	0	3	4	0	0	0	0	0	4	
2	6	Noun	9	0	4	1	0	0	0	0	0	5	
2	7	Adjective	6	0	7	1	0	1	0	0	0	4	
2	8	Noun	11	0	4	2	0	0	0	0	0	2	
2	9	Noun	9	0	5	1	1	0	0	0	0	3	
2	10	Noun	6	0	6	4	0	1	0	0	0	2	
2	11	Noun	10	0	6	0	0	1	0	0	0	2	
2	12	Noun	10	0	5	2	0	0	0	0	0	0	
3	1	Noun	7	0	4	5	0	1	0	0	0	4	
3	2	Noun	8	0	5	1	0	0	0	0	0	7	
3	3	Noun	8	0	2	4	0	3	0	0	0	4	
3	4	Noun	12	0	3	2	0	1	0	0	0	3	
3	5	Noun	10	0	3	5	0	0	0	0	0	3	
3	6	Noun	9	0	5	3	0	0	0	0	0	4	
3	7	Noun	10	0	6	3	0	0	0	0	0	2	
3	8	Noun	7	0	6	3	1	0	0	0	0	4	
3	9	Noun	12	0	4	5	0	0	0	0	0	0	
3	10	Noun	13	0	4	1	1	1	0	0	0	1	
3	11	Noun	11	0	2	4	0	0	0	0	0	2	
4	1	Noun	15	0	12	11	0	1	0	0	0	8	
4	2	Noun	18	0	9	7	0	1	0	0	0	12	
4	3	Noun	22	0	8	8	1	1	0	0	0	7	
4	4	Noun	18	0	17	2	0	1	0	0	0	9	
4	5	Noun	22	0	15	2	1	1	0	0	0	6	
4	6	Noun	21	0	15	6	0	1	0	0	0	4	
4	7	Noun	29	0	9	3	0	2	0	0	0	4	
4	8	Noun	26	0	9	10	0	0	0	0	0	2	
4	9	Noun	24	0	12	9	0	1	0	0	0	1	
4	10	Noun	22	0	11	7	0	1	0	0	0	3	
5	1	Noun	28	0	24	15	0	4	0	0	0	8	
5	2	Noun	39	0	20	10	0	4	0	0	0	6	
5	3	Noun	41	0	17	12	2	1	0	0	0	6	
5	4	Noun	33	0	24	12	1	3	0	0	0	6	
5	5	Noun	42	0	17	9	2	2	0	0	0	7	
5	6	Noun	34	0	21	10	0	1	0	0	0	13	
5	7	Noun	33	0	16	10	0	1	0	0	0	7	
6	1	Noun	26	0	13	19	1	1	0	0	0	12	
6	2	Noun	31	0	24	7	0	3	0	0	0	7	
6	3	Noun	27	0	17	17	2	3	0	0	0	6	
6	4	Noun	29	0	14	16	0	5	0	0	0	8	
6	5	Noun	35	0	19	12	2	0	0	0	0	4	
6	6	Noun	36	0	17	9	1	2	0	0	0	7	
6	7	Noun	40	0	8	14	0	4	0	0	0	6	
6	8	Noun	27	0	20	14	1	4	0	0	1	5	
6	9	Noun	30	0	16	9	1	2	0	0	0	4	
7	1	Noun	23	0	19	11	0	1	0	0	0	17	
7	2	Noun	25	0	19	14	0	2	0	0	0	11	
7	3	Noun	28	0	18	17	0	2	0	0	0	6	
7	4	Noun	24	0	17	16	0	1	0	0	0	13	
7	5	Noun	22	0	13	11	0	4	0	0	0	4	
8	1	Noun	54	0	35	22	0	1	0	0	0	19	
8	2	Noun	55	0	33	21	0	1	0	0	0	21	
8	3	Noun	49	0	36	24	1	4	1	0	0	16	
8	4	Noun	64	0	31	19	0	1	0	0	0	16	
8	5	Noun	52	0	26	18	0	2	0	0	0	7	
9	1	Noun	50	0	23	17	2	6	0	0	1	8	
9	2	Noun	43	0	25	26	1	4	0	0	0	8	
9	3	Noun	41	0	31	26	2	3	0	0	0	4	
9	4	Noun	64	0	18	16	0	3	0	0	1	5	
9	5	Noun	42	0	18	16	0	3	0	0	0	3	
10	1	Noun	40	0	23	23	2	3	0	0	0	9	
10	2	Noun	51	0	16	20	0	5	0	0	0	8	
10	3	Noun	34	0	29	20	3	7	0	0	0	7	
10	4	Noun	43	0	28	20	1	5	0	0	0	3	
