CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Unknown	0	0	0	0	0	0	0	0	0	1	
1	2	Noun	1	0	0	0	0	0	0	0	0	0	
1	3	Noun	1	0	0	0	0	0	0	0	0	0	
1	4	Unknown	0	0	0	0	0	0	0	0	0	1	
1	5	Noun	1	0	0	0	0	0	0	0	0	0	
1	6	Unknown	0	0	0	0	0	0	0	0	0	1	
1	7	Unknown	0	0	0	0	0	0	0	0	0	1	
1	8	Noun	1	0	0	0	0	0	0	0	0	0	
1	9	Unknown	0	0	0	0	0	0	0	0	0	1	
1	10	Unknown	0	0	0	0	0	0	0	0	0	1	
1	11	Verb	0	0	0	1	0	0	0	0	0	0	
1	12	Verb	0	0	0	1	0	0	0	0	0	0	
1	13	Noun	1	0	0	0	0	0	0	0	0	0	
1	14	Unknown	0	0	0	0	0	0	0	0	0	1	
1	15	Noun	1	0	0	0	0	0	0	0	0	0	
1	16	Adjective	0	0	1	0	0	0	0	0	0	0	
2	1	Noun	33	0	13	13	0	0	1	0	0	5	
2	2	Noun	42	0	11	11	0	0	0	0	0	1	
2	3	Noun	40	0	14	7	0	0	0	0	0	4	
2	4	Noun	32	0	13	12	0	1	0	0	0	7	
2	5	Noun	34	0	10	12	1	3	0	0	0	5	
2	6	Noun	38	0	11	14	0	0	0	0	0	2	
2	7	Noun	39	0	12	8	1	3	0	0	0	2	
2	8	Noun	39	0	11	13	0	1	0	0	0	1	
2	9	Noun	37	0	17	6	1	1	0	0	0	3	
2	10	Noun	32	0	13	9	0	0	0	0	0	3	
3	1	Noun	30	0	11	11	0	1	0	0	0	10	
3	2	Noun	38	0	16	5	0	0	0	0	0	4	
3	3	Noun	27	0	15	11	0	2	0	0	1	7	
3	4	Noun	33	0	15	9	0	1	0	0	0	5	
3	5	Noun	31	0	10	16	2	0	1	0	0	3	
3	6	Noun	34	0	14	10	1	0	0	0	0	4	
3	7	Noun	31	0	12	13	0	1	0	0	0	6	
3	8	Noun	30	0	15	14	0	0	1	0	0	3	
3	9	Noun	36	0	6	8	0	2	0	0	0	2	
4	1	Noun	28	0	7	6	1	2	0	0	0	10	
4	2	Noun	29	0	10	8	1	1	0	0	0	5	
4	3	Noun	33	0	8	9	0	1	0	0	0	3	
4	4	Noun	27	0	14	9	0	1	0	0	0	3	
4	5	Noun	33	0	7	10	0	0	0	0	0	4	
4	6	Noun	23	0	15	10	0	0	0	0	0	6	
4	7	Noun	26	0	9	8	2	0	0	0	0	1	
5	1	Noun	12	0	5	7	0	0	0	0	0	3	
5	2	Noun	15	0	6	4	0	1	0	0	0	1	
5	3	Noun	14	0	6	4	0	0	0	0	0	3	
5	4	Noun	12	0	4	8	0	3	0	0	0	0	
5	5	Noun	18	0	3	5	0	0	0	0	0	1	
5	6	Noun	16	0	3	7	0	0	0	0	0	1	
5	7	Noun	17	0	2	5	1	1	0	0	0	1	
5	8	Noun	17	0	6	3	1	0	0	0	0	0	
5	9	Noun	14	0	5	5	0	1	0	0	0	2	
5	10	Noun	15	0	7	3	0	2	0	0	0	0	
5	11	Noun	14	0	4	8	0	0	1	0	0	0	
5	12	Noun	14	0	6	1	0	1	0	0	0	3	
6	1	Noun	14	0	3	1	1	1	0	0	0	2	
6	2	Noun	13	0	5	3	0	1	0	0	0	0	
6	3	Noun	9	0	7	4	0	0	0	0	0	2	
6	4	Noun	13	0	5	4	0	0	0	0	0	0	
6	5	Noun	15	0	4	2	0	0	0	0	0	1	
6	6	Noun	19	0	3	0	0	0	0	0	0	0	
6	7	Noun	14	0	6	2	0	0	0	0	0	0	
6	8	Noun	15	0	5	1	1	0	0	0	0	0	
6	9	Noun	15	0	1	6	0	0	0	0	0	0	
6	10	Noun	10	0	5	4	0	1	0	0	0	2	
6	11	Noun	12	0	4	4	1	1	0	0	0	0	
6	12	Noun	12	0	5	2	0	0	0	0	0	0	
7	1	Noun	16	0	3	4	0	1	0	0	0	1	
7	2	Noun	16	0	4	3	0	0	0	0	0	2	
7	3	Noun	16	0	4	2	0	1	0	0	0	2	
7	4	Noun	10	0	7	5	0	0	0	0	0	3	
7	5	Noun	20	0	1	2	0	1	0	0	0	1	
7	6	Noun	11	0	7	1	0	0	1	0	0	5	
7	7	Noun	13	0	5	6	0	0	0	0	0	1	
7	8	Noun	15	0	6	3	0	0	0	0	0	1	
7	9	Noun	14	0	2	4	0	1	0	0	0	4	
7	10	Noun	14	0	6	5	0	0	0	0	0	0	
7	11	Noun	16	0	5	3	0	0	0	0	0	1	
7	12	Noun	13	0	9	2	0	0	0	0	0	1	
7	13	Noun	19	0	3	2	0	1	0	0	0	0	
7	14	Noun	14	0	7	1	0	1	0	0	0	0	
