CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	2	0	0	0	0	0	0	0	0	1	
1	2	Unknown	1	0	0	0	0	0	0	0	0	2	
1	3	Noun	2	0	0	0	0	0	0	0	0	1	
1	4	Noun	3	0	0	0	0	0	0	0	0	0	
1	5	Unknown	0	0	0	0	0	0	0	0	0	3	
1	6	Unknown	0	0	0	0	0	0	0	0	0	3	
1	7	Noun	2	0	0	1	0	0	0	0	0	0	
1	8	Unknown	0	0	0	0	0	0	0	0	0	3	
1	9	Unknown	0	0	0	0	0	0	0	0	0	3	
1	10	Verb	0	0	0	2	0	0	0	0	0	0	
2	1	Noun	95	0	19	28	1	9	0	0	0	4	
2	2	Noun	87	0	23	32	0	8	0	0	0	6	
2	3	Noun	81	0	36	30	2	4	0	0	0	3	
2	4	Noun	79	0	36	32	3	5	0	0	0	1	
2	5	Noun	91	1	21	27	3	11	0	0	0	2	
2	6	Noun	76	0	41	26	6	6	0	0	0	1	
2	7	Noun	78	0	27	34	4	5	0	0	0	8	
2	8	Noun	73	0	24	29	2	4	0	0	0	2	
3	1	Noun	56	0	22	21	2	1	0	0	0	4	
3	2	Noun	51	0	24	22	0	5	0	0	0	4	
3	3	Noun	61	0	19	20	1	2	0	0	0	3	
3	4	Noun	59	0	19	21	2	4	0	0	0	1	
3	5	Noun	62	0	20	15	5	2	0	0	0	2	
3	6	Noun	54	0	23	23	1	5	0	0	0	0	
3	7	Noun	50	0	24	24	4	0	0	0	0	4	
3	8	Noun	59	0	19	20	1	5	0	0	0	2	
3	9	Noun	56	0	17	26	3	4	0	0	0	0	
3	10	Noun	53	0	28	22	1	1	0	0	0	1	
3	11	Noun	43	0	18	16	1	8	0	0	0	4	
4	1	Noun	92	0	32	40	4	6	0	0	0	12	
4	2	Noun	97	0	27	38	0	10	0	0	0	14	
4	3	Noun	77	0	43	46	2	3	1	0	0	14	
4	4	Noun	98	0	37	30	3	4	0	0	0	14	
4	5	Noun	97	0	32	44	1	3	0	0	0	9	
4	6	Noun	99	0	27	31	2	7	1	0	0	19	
4	7	Noun	87	0	24	46	2	3	0	0	0	24	
4	8	Noun	89	0	45	32	1	2	0	0	0	17	
4	9	Noun	96	0	42	32	2	4	0	0	0	10	
4	10	Noun	90	0	22	30	3	7	0	0	0	10	
