CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	50	0	24	17	1	5	0	0	1	12	
1	2	Noun	61	0	21	16	0	1	0	0	0	11	
1	3	Noun	58	0	19	17	0	4	0	0	0	12	
1	4	Noun	60	0	21	19	0	5	0	0	0	5	
1	5	Noun	60	0	22	15	0	0	0	0	1	12	
1	6	Noun	63	0	21	15	0	4	0	0	1	6	
1	7	Noun	49	0	13	24	1	2	0	0	0	5	
2	1	Noun	16	0	14	8	0	3	0	0	0	1	
2	2	Noun	23	0	13	3	0	1	0	0	0	2	
2	3	Noun	23	0	9	6	0	0	0	0	0	4	
2	4	Noun	23	0	11	8	0	0	0	0	0	0	
2	5	Noun	25	0	12	3	1	1	0	0	0	0	
2	6	Noun	24	0	6	10	1	0	0	0	0	1	
2	7	Noun	25	0	9	6	0	1	0	0	0	1	
2	8	Noun	21	1	12	4	0	3	0	0	0	1	
2	9	Noun	23	0	6	7	0	1	0	0	0	2	
3	1	Adjective	11	0	12	3	0	1	0	0	0	5	
3	2	Noun	14	0	12	3	0	0	0	0	0	3	
3	3	Noun	20	0	7	2	0	1	0	0	0	2	
3	4	Noun	22	0	3	3	0	1	0	0	0	3	
3	5	Noun	21	0	7	2	0	1	0	0	0	1	
3	6	Noun	18	0	6	6	1	0	0	0	0	1	
3	7	Noun	16	0	8	8	0	0	0	0	0	0	
3	8	Noun	18	0	6	6	0	1	0	0	0	1	
3	9	Noun	21	0	2	4	0	0	0	0	0	2	
4	1	Noun	58	0	26	37	3	3	0	0	2	1	
4	2	Noun	57	0	40	24	1	4	0	0	1	3	
4	3	Noun	67	0	39	19	0	3	0	0	0	2	
4	4	Noun	63	0	35	17	0	7	0	0	0	8	
4	5	Noun	64	0	31	27	0	3	0	0	0	5	
4	6	Noun	78	0	32	12	0	4	0	0	0	4	
4	7	Noun	65	0	37	16	3	4	0	0	0	5	
4	8	Noun	67	0	31	21	0	4	1	0	1	5	
4	9	Noun	55	0	21	21	1	3	1	0	1	4	
5	1	Noun	15	0	6	10	0	1	0	0	0	0	
5	2	Noun	22	0	4	3	0	2	0	0	0	1	
5	3	Noun	16	0	7	7	0	0	0	0	1	1	
5	4	Adjective	9	0	12	7	0	3	0	0	0	1	
5	5	Noun	12	0	9	5	1	2	0	0	0	3	
5	6	Noun	17	0	7	5	0	1	0	0	0	2	
5	7	Noun	15	0	7	7	0	3	0	0	0	0	
5	8	Noun	12	0	10	7	2	1	0	0	0	0	
5	9	Noun	20	0	9	2	0	1	0	0	0	0	
5	10	Noun	21	0	7	4	0	0	0	0	0	0	
5	11	Noun	14	0	8	3	0	1	0	0	0	1	
6	1	Noun	5	0	4	2	0	0	0	0	0	2	
6	2	Noun	7	0	3	2	0	0	0	0	0	1	
6	3	Noun	4	0	2	2	1	0	0	0	0	4	
6	4	Noun	5	0	5	2	0	1	0	0	0	0	
6	5	Noun	9	0	1	2	0	0	0	0	0	1	
6	6	Noun	5	0	5	3	0	0	0	0	0	0	
6	7	Noun	5	0	4	2	0	1	0	0	0	1	
6	8	Noun	8	0	3	1	0	1	0	0	0	0	
6	9	Noun	5	0	3	4	0	1	0	0	0	0	
6	10	Noun	7	0	2	2	0	1	0	0	0	0	
7	1	Noun	9	0	6	3	0	1	0	0	0	5	
7	2	Noun	14	0	4	4	0	0	0	0	0	2	
7	3	Noun	15	0	4	3	0	0	0	0	1	1	
7	4	Noun	12	0	6	3	0	0	0	0	0	3	
7	5	Adjective	5	0	11	5	0	0	0	0	0	3	
7	6	Noun	15	0	4	1	0	1	0	0	0	3	
7	7	Noun	13	0	4	5	0	1	0	0	0	1	
7	8	Noun	12	0	5	5	0	1	0	0	0	1	
7	9	Noun	15	0	5	2	0	0	0	0	0	0	
8	1	Adjective	2	0	8	2	0	1	0	0	1	1	
8	2	Noun	7	0	3	4	0	0	0	0	0	1	
8	3	Noun	7	0	4	3	0	0	0	0	0	1	
8	4	Noun	8	0	5	2	0	0	0	0	0	0	
8	5	Noun	8	0	2	0	1	1	0	0	0	3	
8	6	Noun	8	0	3	2	0	0	0	0	0	2	
8	7	Noun	7	0	1	3	0	2	0	0	0	2	
8	8	Noun	9	0	3	1	0	1	0	0	0	1	
8	9	Noun	10	0	3	2	0	0	0	0	0	0	
8	10	Noun	7	0	5	1	0	2	0	0	0	0	
8	11	Noun	5	0	5	0	0	1	0	0	0	3	
9	1	Noun	8	0	3	4	0	0	0	0	0	0	
9	2	Noun	9	0	3	2	0	0	0	0	0	1	
9	3	Noun	8	0	1	3	1	1	0	0	0	1	
9	4	Noun	9	0	4	0	0	0	0	0	0	2	
9	5	Noun	8	0	5	2	0	0	0	0	0	0	
9	6	Noun	9	0	3	2	0	1	0	0	0	0	
9	7	Adjective	4	0	6	4	0	0	0	0	0	1	
9	8	Noun	9	0	5	0	1	0	0	0	0	0	
9	9	Noun	11	0	2	2	0	0	0	0	0	0	
9	10	Noun	7	0	6	2	0	0	0	0	0	0	
9	11	Noun	8	0	2	3	0	1	0	0	0	1	
9	12	Noun	8	0	3	2	0	1	0	0	0	1	
9	13	Noun	8	0	3	3	0	1	0	0	0	0	
10	1	Noun	36	0	17	11	0	3	0	0	0	2	
10	2	Noun	44	0	8	12	0	3	0	0	1	1	
10	3	Noun	40	0	11	15	0	1	0	0	0	2	
10	4	Noun	38	0	13	14	0	2	0	0	0	2	
10	5	Noun	41	0	15	8	1	3	0	0	0	1	
10	6	Noun	37	0	12	17	1	2	0	0	0	0	
10	7	Noun	45	0	13	9	0	2	0	0	0	0	
10	8	Noun	34	0	9	21	0	3	0	0	0	2	
10	9	Noun	34	0	13	17	0	2	0	0	0	3	
10	10	Noun	29	0	13	11	0	2	0	0	1	5	
11	1	Verb	7	0	7	11	0	2	0	0	0	0	
11	2	Noun	14	0	5	4	0	3	0	0	0	1	
11	3	Noun	16	0	7	4	0	0	0	0	0	0	
11	4	Noun	17	0	6	4	0	0	0	0	0	0	
11	5	Noun	14	0	7	3	2	0	0	0	0	1	
11	6	Noun	13	0	8	5	1	0	0	0	0	0	
11	7	Noun	12	0	9	3	0	3	0	0	0	0	
11	8	Noun	13	0	8	6	0	0	0	0	0	0	
11	9	Noun	11	0	8	3	0	0	0	0	0	0	
12	1	Noun	4	0	4	2	0	0	0	0	0	1	
12	2	Noun	5	0	3	3	0	0	0	0	0	0	
12	3	Noun	5	0	2	3	0	0	0	0	0	1	
12	4	Adjective	4	0	5	0	0	1	0	0	0	1	
12	5	Noun	6	0	2	3	0	0	0	0	0	0	
12	6	Noun	5	0	5	1	0	0	0	0	0	0	
12	7	Noun	5	0	4	1	0	0	0	0	0	1	
12	8	Noun	4	0	4	1	0	2	0	0	0	0	
12	9	Noun	5	0	2	4	0	0	0	0	0	0	
12	10	Noun	6	0	4	1	0	0	0	0	0	0	
12	11	Noun	3	0	3	3	0	0	0	0	0	2	
13	1	Noun	8	0	5	7	0	0	0	0	0	0	
13	2	Noun	8	0	4	7	0	0	0	0	0	1	
13	3	Noun	10	0	4	5	0	1	0	0	0	0	
13	4	Noun	10	0	8	1	0	0	0	0	0	1	
13	5	Noun	10	0	1	5	1	2	0	0	0	1	
13	6	Noun	6	0	6	5	0	1	0	0	0	2	
13	7	Noun	10	0	4	4	0	0	0	0	0	2	
13	8	Noun	10	0	5	1	1	1	0	0	0	2	
13	9	Noun	14	0	2	4	0	0	0	0	0	0	
13	10	Noun	7	0	7	3	1	0	0	0	0	1	
14	1	Noun	15	0	11	5	0	1	0	0	0	1	
14	2	Noun	23	0	3	4	0	1	0	0	0	2	
14	3	Noun	17	0	6	4	0	1	0	0	0	5	
14	4	Noun	19	0	5	6	0	1	0	0	0	2	
14	5	Noun	14	0	6	4	0	4	1	0	0	4	
14	6	Noun	21	0	6	5	0	0	0	0	0	1	
14	7	Noun	18	0	10	2	0	1	0	0	0	2	
14	8	Noun	22	0	5	4	0	0	0	0	0	2	
14	9	Noun	17	0	7	6	0	0	0	0	0	3	
14	10	Noun	13	0	9	7	0	0	0	0	0	1	
15	1	Noun	3	0	3	1	0	0	0	0	0	3	
15	2	Noun	6	0	0	3	0	0	0	0	0	1	
15	3	Noun	7	0	1	0	0	0	0	0	0	2	
15	4	Noun	9	0	0	1	0	0	0	0	0	0	
15	5	Noun	6	0	1	3	0	0	0	0	0	0	
15	6	Noun	6	0	2	1	0	0	0	0	0	1	
15	7	Noun	7	0	2	1	0	0	0	0	0	0	
15	8	Noun	6	0	1	1	0	2	0	0	0	0	
15	9	Noun	7	0	0	2	0	0	0	0	0	1	
15	10	Noun	4	0	3	2	0	0	0	0	0	1	
15	11	Noun	4	0	3	2	0	0	0	0	0	1	
15	12	Noun	6	0	2	1	0	0	0	0	0	0	
16	1	Adjective	10	0	11	1	0	0	0	0	0	4	
16	2	Noun	12	0	5	6	0	1	1	0	0	1	
16	3	Noun	15	0	8	2	0	1	0	0	0	0	
16	4	Noun	13	0	4	3	3	2	0	0	0	1	
16	5	Noun	14	0	6	3	0	0	0	0	0	3	
16	6	Noun	17	0	1	5	0	0	0	0	0	3	
16	7	Noun	15	0	5	2	0	1	0	0	0	3	
16	8	Noun	11	0	7	3	1	0	0	0	0	3	
17	1	Noun	42	0	25	16	0	2	0	0	1	11	
17	2	Noun	36	0	23	18	0	5	0	0	3	12	
17	3	Noun	41	0	26	17	0	3	0	0	0	10	
17	4	Noun	48	0	21	16	0	3	0	0	0	9	
17	5	Noun	52	0	19	18	0	2	0	0	2	4	
17	6	Noun	43	0	21	14	0	5	0	0	2	12	
17	7	Noun	45	0	20	19	0	6	0	0	0	7	
17	8	Noun	42	0	26	13	1	6	0	0	2	7	
17	9	Noun	44	0	18	14	3	2	0	0	0	3	
18	1	Noun	16	0	12	13	0	0	0	0	0	7	
18	2	Noun	23	0	7	12	2	0	0	0	0	4	
18	3	Noun	27	0	10	7	0	3	0	0	0	1	
18	4	Noun	28	0	7	11	0	2	0	0	0	0	
18	5	Noun	23	0	16	8	0	0	0	0	0	1	
18	6	Noun	24	0	13	9	0	1	0	0	0	1	
18	7	Noun	22	0	12	8	0	4	0	0	0	2	
18	8	Noun	16	0	15	3	1	3	0	0	0	2	
19	1	Noun	13	0	9	6	0	0	0	0	2	3	
19	2	Noun	10	0	6	5	0	3	0	0	1	8	
19	3	Noun	14	0	8	5	0	1	0	0	1	4	
19	4	Noun	13	0	6	2	0	3	0	0	1	8	
19	5	Noun	16	1	4	8	0	1	0	0	0	3	
19	6	Noun	25	0	2	4	0	0	0	0	0	2	
19	7	Noun	17	0	2	7	0	1	0	0	0	6	
19	8	Noun	15	1	6	4	0	1	0	0	0	2	
20	1	Noun	14	0	6	2	0	2	0	0	2	5	
20	2	Noun	12	0	5	8	0	2	0	0	2	2	
20	3	Noun	10	0	7	5	1	1	0	0	2	5	
20	4	Noun	16	0	8	4	0	1	0	0	0	2	
20	5	Noun	19	0	5	4	0	0	0	0	0	3	
20	6	Noun	14	0	7	2	0	1	0	0	2	2	
21	1	Noun	9	0	1	5	0	1	0	0	0	2	
21	2	Noun	9	0	2	5	0	0	0	0	0	2	
21	3	Noun	8	0	6	1	0	2	0	0	0	1	
21	4	Noun	12	0	3	2	0	1	0	0	0	0	
21	5	Noun	11	0	3	3	0	0	0	0	0	1	
21	6	Noun	13	0	1	2	0	1	0	0	0	1	
21	7	Noun	9	0	4	4	0	1	0	0	0	0	
21	8	Noun	11	0	4	2	0	0	0	0	0	1	
21	9	Noun	16	0	1	0	0	0	0	0	0	1	
21	10	Noun	11	0	3	2	0	0	0	0	0	2	
21	11	Noun	14	0	1	2	1	0	0	0	0	0	
21	12	Noun	9	0	4	3	0	1	0	0	0	0	
22	1	Noun	19	0	8	5	0	1	0	0	0	3	
22	2	Noun	17	0	8	2	0	4	0	0	1	4	
22	3	Noun	13	0	6	7	0	4	1	0	2	3	
22	4	Noun	17	0	6	6	0	2	0	0	0	5	
22	5	Noun	17	0	7	9	0	1	0	0	1	1	
22	6	Noun	12	0	7	10	0	1	0	0	1	1	
23	1	Adjective	8	0	10	6	0	1	0	0	0	1	
23	2	Noun	10	0	7	5	0	0	0	0	2	2	
23	3	Noun	16	0	7	2	0	0	0	0	1	0	
23	4	Noun	12	0	5	2	0	2	0	0	1	4	
23	5	Noun	9	0	7	6	1	0	0	0	1	2	
23	6	Noun	14	0	4	3	0	2	0	0	1	2	
23	7	Noun	11	0	6	3	0	1	0	0	1	4	
23	8	Noun	10	0	10	4	0	0	0	0	1	1	
23	9	Noun	12	0	5	5	0	0	0	0	0	2	
24	1	Noun	6	0	1	3	0	0	0	0	0	1	
24	2	Noun	5	0	3	1	0	0	0	0	1	1	
24	3	Noun	5	0	1	3	0	1	0	0	0	1	
24	4	Noun	5	0	3	2	0	0	0	0	0	1	
24	5	Noun	4	0	3	0	0	1	0	0	0	3	
24	6	Noun	5	0	4	2	0	0	0	0	0	0	
24	7	Noun	5	0	4	2	0	0	0	0	0	0	
24	8	Noun	4	0	4	2	0	0	0	0	0	1	
24	9	Noun	4	0	2	2	0	1	0	0	0	0	
25	1	Noun	16	0	4	5	0	2	0	0	0	3	
25	2	Noun	13	0	5	7	0	1	0	0	0	4	
25	3	Noun	15	0	10	2	0	0	0	0	0	3	
25	4	Noun	11	0	10	7	0	1	0	0	0	1	
25	5	Noun	16	0	7	3	0	0	0	0	1	3	
25	6	Noun	16	0	6	7	0	0	0	0	0	1	
25	7	Noun	14	0	7	5	0	0	0	0	0	4	
25	8	Noun	17	0	5	2	0	4	0	0	0	2	
25	9	Noun	17	0	3	3	0	3	0	0	1	3	
25	10	Adjective	8	0	9	5	0	2	0	0	0	3	
26	1	Noun	3	0	0	0	0	0	0	0	0	0	
26	2	Noun	1	0	0	0	0	1	0	0	0	1	
26	3	Adjective	0	0	1	1	0	0	0	0	0	1	
26	4	Noun	1	0	1	0	0	0	0	0	0	1	
26	5	Noun	2	0	0	1	0	0	0	0	0	0	
