CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Unknown	0	0	0	0	0	0	0	0	0	1	
1	2	Noun	1	0	0	0	0	0	0	0	0	0	
1	3	Noun	1	0	0	0	0	0	0	0	0	0	
1	4	Noun	1	0	0	0	0	0	0	0	0	0	
1	5	Noun	1	0	0	0	0	0	0	0	0	0	
1	6	Noun	1	0	0	0	0	0	0	0	0	0	
1	7	Unknown	0	0	0	0	0	0	0	0	0	1	
1	8	Noun	1	0	0	0	0	0	0	0	0	0	
1	9	Adjective	0	0	1	0	0	0	0	0	0	0	
1	10	Unknown	0	0	0	0	0	0	0	0	0	1	
1	11	Verb	0	0	0	1	0	0	0	0	0	0	
1	12	Noun	1	0	0	0	0	0	0	0	0	0	
1	13	Unknown	0	0	0	0	0	0	0	0	0	1	
2	1	Noun	18	0	4	8	0	0	0	0	0	3	
2	2	Noun	16	0	9	6	0	0	0	0	0	2	
2	3	Noun	17	0	8	6	0	2	0	0	0	0	
2	4	Adjective	5	0	10	5	0	0	0	0	0	1	
3	1	Noun	19	0	12	4	0	1	0	0	0	6	
3	2	Noun	21	0	8	10	0	2	0	0	0	1	
3	3	Noun	17	0	10	13	0	0	0	0	0	2	
3	4	Noun	16	0	3	11	0	0	0	0	0	0	
4	1	Noun	22	0	4	7	1	0	0	0	0	12	
4	2	Verb	13	0	13	16	0	1	0	0	0	3	
4	3	Noun	25	0	13	6	0	1	0	0	0	1	
4	4	Noun	22	0	9	7	3	2	0	0	0	3	
4	5	Noun	21	0	15	5	0	1	0	0	0	4	
4	6	Noun	21	0	11	6	0	1	0	0	0	1	
5	1	Unknown	7	0	7	0	1	0	0	0	0	9	
5	2	Noun	8	0	8	7	0	0	0	0	0	1	
5	3	Noun	11	0	6	3	0	2	0	0	0	2	
5	4	Noun	10	0	8	4	0	0	0	0	0	2	
5	5	Noun	14	0	7	1	0	0	0	0	0	2	
5	6	Noun	14	0	4	1	0	2	0	0	0	3	
5	7	Adjective	4	0	10	5	0	0	0	0	0	2	
6	1	Noun	15	0	7	4	0	1	0	0	0	6	
6	2	Verb	8	0	6	11	0	1	0	0	0	7	
6	3	Noun	13	0	8	8	0	0	0	0	0	4	
6	4	Noun	10	0	8	9	2	0	0	0	0	4	
6	5	Noun	14	0	5	4	0	1	0	0	0	1	
7	1	Noun	21	0	3	9	0	3	0	0	0	15	
7	2	Adjective	14	0	19	13	1	2	0	0	0	2	
7	3	Noun	28	0	9	11	0	0	0	0	0	3	
7	4	Noun	22	0	16	5	0	0	0	0	0	8	
7	5	Noun	23	0	10	15	0	1	0	0	0	2	
7	6	Noun	28	0	7	9	0	3	0	0	0	4	
7	7	Noun	22	0	5	11	0	0	0	0	0	4	
8	1	Noun	23	0	6	5	0	0	0	0	0	11	
8	2	Verb	13	0	11	14	0	2	0	0	0	5	
8	3	Noun	24	0	9	7	0	0	0	0	0	5	
8	4	Noun	19	0	5	11	0	2	1	0	0	7	
8	5	Noun	24	0	8	7	1	2	0	0	0	3	
8	6	Noun	30	0	6	5	1	0	0	0	0	3	
8	7	Noun	16	0	16	2	0	1	0	0	0	2	
9	1	Noun	29	0	4	13	0	2	0	0	0	14	
9	2	Noun	24	0	12	14	0	2	0	0	0	10	
9	3	Noun	23	0	15	13	2	1	0	0	0	8	
9	4	Noun	28	0	13	17	0	0	0	0	0	4	
9	5	Noun	29	0	16	7	2	3	0	0	0	5	
9	6	Noun	30	0	9	10	1	0	0	0	0	2	
10	1	Noun	32	0	10	11	0	0	0	0	0	12	
10	2	Noun	26	0	15	13	1	1	0	0	0	9	
10	3	Noun	34	0	12	13	2	0	0	0	0	4	
10	4	Noun	34	0	9	14	0	3	0	0	0	5	
10	5	Noun	23	0	11	7	0	1	0	0	0	7	
11	1	Noun	24	0	7	12	1	2	0	0	0	13	
11	2	Noun	20	0	11	18	0	3	0	0	0	7	
11	3	Verb	20	0	8	21	1	1	0	0	0	8	
11	4	Noun	30	0	7	15	1	1	0	0	0	5	
11	5	Noun	28	0	13	14	1	0	0	0	0	3	
11	6	Noun	32	0	7	8	1	0	0	0	0	2	
12	1	Noun	15	0	6	7	2	3	0	0	0	8	
12	2	Noun	16	0	7	16	0	2	0	0	0	0	
12	3	Noun	18	0	10	11	0	0	0	0	0	2	
12	4	Noun	21	0	9	9	0	1	0	0	0	1	
12	5	Noun	21	0	4	10	0	2	0	0	0	4	
12	6	Noun	15	0	7	7	1	0	0	0	0	3	
13	1	Noun	9	0	1	0	0	1	0	0	0	2	
13	2	Noun	7	0	5	1	0	0	0	0	0	0	
13	3	Noun	3	0	3	3	0	1	0	0	0	3	
13	4	Noun	8	0	1	3	0	1	0	0	0	0	
