CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Adjective	6	0	7	1	0	0	0	0	0	1	
1	2	Noun	9	0	3	2	0	0	0	0	0	1	
1	3	Noun	12	0	0	1	0	0	0	0	0	2	
1	4	Noun	7	0	1	4	0	0	0	0	0	3	
1	5	Noun	7	0	4	0	0	0	0	0	0	0	
2	1	Noun	16	0	6	12	0	1	0	0	0	4	
2	2	Noun	19	0	11	8	0	1	0	0	0	0	
2	3	Noun	17	0	7	11	0	1	0	0	0	3	
2	4	Noun	27	0	9	1	0	0	0	0	0	2	
2	5	Noun	23	0	5	10	0	1	0	0	0	0	
2	6	Noun	23	0	8	7	0	0	0	0	0	1	
2	7	Noun	27	0	2	7	0	3	0	0	0	0	
2	8	Noun	18	0	7	10	0	3	0	0	0	1	
2	9	Noun	22	0	10	3	0	1	0	0	0	3	
2	10	Noun	20	0	7	6	0	1	0	0	0	0	
3	1	Noun	26	0	17	11	0	0	0	0	0	2	
3	2	Noun	38	0	13	3	0	0	0	0	0	2	
3	3	Noun	27	0	14	10	0	4	0	0	0	1	
3	4	Noun	36	0	7	9	0	4	0	0	0	0	
3	5	Noun	25	0	20	9	1	0	0	0	0	1	
3	6	Noun	32	0	9	13	0	0	0	0	0	2	
3	7	Noun	21	0	11	14	0	2	0	0	0	1	
4	1	Noun	18	0	11	12	1	3	0	0	0	2	
4	2	Noun	25	0	11	10	0	0	0	0	0	1	
4	3	Noun	17	0	16	12	0	0	0	0	0	2	
4	4	Noun	19	0	15	8	0	2	0	0	0	3	
4	5	Noun	30	0	9	7	0	0	0	0	0	1	
4	6	Noun	24	0	15	7	0	1	0	0	0	0	
4	7	Noun	23	0	11	5	0	0	0	0	0	1	
5	1	Noun	21	0	10	6	1	1	0	0	0	2	
5	2	Noun	20	0	9	10	0	1	0	0	0	1	
5	3	Noun	22	0	11	5	0	2	0	0	0	1	
5	4	Noun	21	0	7	13	0	0	0	0	0	0	
5	5	Noun	19	0	8	10	1	2	0	0	0	1	
5	6	Noun	18	0	13	8	0	0	0	0	0	2	
5	7	Noun	27	0	7	4	0	2	0	0	0	1	
5	8	Noun	25	0	7	7	0	0	0	0	0	2	
5	9	Noun	17	0	4	6	0	1	0	0	0	4	
6	1	Noun	20	0	8	6	1	4	0	0	0	2	
6	2	Noun	19	0	8	12	0	1	0	0	0	1	
6	3	Noun	24	0	6	6	1	3	0	0	0	1	
6	4	Noun	21	0	4	12	1	2	0	0	0	1	
