CHAPTER	WORD_POSITION	WINNER	NOUN	PRONOUN	ADJECTIVE	VERB	AUXILIARY-VERB	ADVERB	PREPOSITON	CONJUCTION	INTERJECTION	UNKNOWN	
1	1	Noun	1	0	0	0	0	0	0	0	0	1	
1	2	Noun	1	0	0	0	0	0	0	0	0	1	
1	3	Unknown	0	0	0	0	0	0	0	0	0	2	
1	4	Noun	1	0	0	0	0	0	0	0	0	1	
1	5	Noun	2	0	0	0	0	0	0	0	0	0	
1	6	Unknown	0	0	0	0	0	0	0	0	0	2	
1	7	Unknown	0	0	0	0	0	0	0	0	0	2	
1	8	Verb	0	0	0	1	0	0	0	0	0	1	
1	9	Noun	2	0	0	0	0	0	0	0	0	0	
1	10	Adjective	0	0	1	0	0	0	0	0	0	1	
1	11	Noun	1	1	0	0	0	0	0	0	0	0	
1	12	Unknown	0	0	0	0	0	0	0	0	0	1	
2	1	Noun	13	0	8	9	0	2	0	0	0	6	
2	2	Noun	22	0	8	6	0	2	0	0	0	0	
2	3	Noun	15	0	14	3	0	4	0	0	0	2	
2	4	Noun	21	0	6	9	0	2	0	0	0	0	
2	5	Noun	18	0	13	5	0	0	0	0	0	2	
2	6	Noun	21	0	14	2	0	1	0	0	0	0	
2	7	Noun	27	0	6	5	0	0	0	0	0	0	
2	8	Noun	17	0	7	10	0	2	0	0	0	2	
2	9	Noun	15	0	6	14	0	2	0	0	0	1	
2	10	Noun	17	0	8	6	0	3	0	0	0	1	
3	1	Noun	35	0	21	22	1	1	0	0	0	15	
3	2	Noun	52	0	17	19	1	4	0	0	0	2	
3	3	Noun	50	0	24	16	0	0	0	0	1	4	
3	4	Noun	54	0	21	15	0	1	0	0	0	4	
3	5	Noun	48	0	27	13	1	1	0	0	1	4	
3	6	Noun	46	0	23	15	1	4	0	0	0	6	
3	7	Noun	39	1	14	17	1	2	0	0	0	7	
4	1	Noun	45	0	20	30	0	4	0	0	1	11	
4	2	Noun	53	0	21	26	1	5	0	0	0	5	
